MONITORP : /opt/hpws/apache/cgi-bin/trials/bip/data/TESTING ]cat status_queue_8app.txt.20251015
CASQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIFQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIFQ A, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIFQ I, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIFQ M, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTAQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEPQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEPQ A, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEPQ I, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEPQ M, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP1Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP1Q A, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP1Q I, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP1Q M, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP2Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP2Q A, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP2Q I, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP2Q M, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP3Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP4Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP4Q A, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP4Q I, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP4Q M, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP5Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP6Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP7Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP8Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP9Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL1Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EQ1Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELMQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENQ A, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENQ I, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENQ M, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LONQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONLQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF1Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PFMQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RESPQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDVQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPYQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VPIQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VV1Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VV2Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VV3Q,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE
ARCQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCCQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA1Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFDQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLAQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRCQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLTQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VV3Q,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE,NQKE
BL1Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
